Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Carbon intensity of GDP (kg CO2e per 2021 PPP $),Energy use (kg of oil equivalent per capita),"Fertility rate, total (births per woman)",Fossil fuel energy consumption (% of total),GDP per capita (current US$),Individuals using the Internet (% of population),Land Surface Temperature,"Life expectancy at birth, total (years)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Rule of Law: Estimate,Scientific and technical journal articles
0.2558351532332566,0.9966098848164368,-0.4925812885882014,-0.41612746883429086,-0.8730325751900893,-0.1316441912376328,-0.04366213890577723,0.8229604776676905,-0.4060322744820808,0.9257524072136395,-0.3011457076245372,0.9605406572660544,-0.4150977173950483,-0.2806243276466125,-0.6233922633801346
0.30132900060888845,1.0214825045247806,-0.66867946719177,-0.3851271729287493,-0.9973766279036788,-0.20699109892382261,-0.013809389148538872,0.9143878206128128,-0.49941899878668977,0.9577129518009987,-0.45377139912438613,0.9860581144905696,-0.44288861411122304,-0.28350251793342024,-0.6088942676841201
0.3361184133079009,0.9559881897420832,-0.45450660507518637,-0.3372069536346409,-1.1171871165793963,-0.06305007244784672,0.05228886874349192,1.0092013614447912,-0.36642140407048474,0.9865335130604779,-0.35652635366641766,1.0103887132395257,-0.44288861411122304,-0.37441363182017523,-0.6940886756255792
0.36555560866860404,0.9458410791432603,-0.5247631373544903,-0.33876014751510986,-1.2479805714870702,-0.13448747077296067,0.15022441981641887,1.1107872980504827,-0.4328403837155064,1.0244375975184685,-0.30841940514707583,1.0347193119884823,-0.47142634785731796,-0.37500911946572163,-0.5968613645164231
0.7857046697259094,0.13482547728584277,0.6471064267550747,-0.278864917698997,0.22596150933312328,1.2764899986335203,-0.5753491051700171,-1.0871260263502538,1.8419963661743102,0.0530613265861566,0.41046629986709005,-0.060751060952333874,0.294662021266901,-1.1997595085475274,-0.28239295048387353
0.801761321740838,0.19295809638613629,0.5517101253427358,-0.29060501320697246,0.16604537433850025,1.2754237688077723,-0.5308207297151006,-1.081911281604495,1.582759076449413,0.10341320209396307,0.40396778654157467,-0.019211014307774464,0.1986848930920685,-0.8974999044622518,-0.22135316285673476
0.8124657564174574,0.13700626395906054,0.5363948425615883,-0.2364236267211233,0.08634885534499692,1.2740021290401082,-0.516618165685969,-1.0499455735525707,1.482827299672173,0.17282926209247387,0.38689873009654546,0.022329032336785362,0.09090748042607773,-0.5952403003769764,-0.18755929095320684
0.8231701910940764,0.14228426604686778,0.5547558735270267,-0.1888330994742778,0.10623312687866122,1.2736467190981924,-0.4080569310591351,-1.0292897664427467,1.4763141742847747,0.20221053466050273,0.3629514472896473,0.0644625082191245,0.04046050560552351,-0.5641756948676376,-0.08742481305492249
0.8311985171015408,0.05032239021929588,0.47845118044875445,-0.1904549905530267,0.14957861166297784,1.2740021290401082,-0.2700348013503766,-0.9470051577921369,1.5028881515598296,0.2728601595378234,0.3358982643446144,0.1060025548636839,0.04046050560552351,-0.5749937204283977,0.02556536206290742
0.8392268431090055,-0.11154866547730431,0.47046373651329343,-0.16459878022027563,0.20263191165402292,1.2693817997952004,-0.17971774339357324,-0.9060321633611748,1.4562746071206056,0.30650283805083317,0.30973988336916325,0.14754260150824372,-0.012904877237984919,-0.7311107315024867,0.04274880510359356
0.8445790604473148,-0.1407314926368156,0.49036139079793584,-0.1117542514366096,0.2570189842399216,1.2740021290401082,-0.0985178997150929,-0.8538847159035866,1.482827299672173,0.3379026713296427,0.284345247101499,0.18848921891502382,-0.05025017765261629,-0.7326986985572773,0.1737526893959332
0.8499312777856245,-0.1468612476612268,0.49273326824552116,-0.06930327174989842,0.31712954621118544,1.2743575389820243,-0.01395374465718105,-0.7837904196456595,1.556142529727381,0.3636953915229509,0.2561841643635661,0.22943583632180437,-0.15055391354201858,-0.749273104691653,0.2079698377920677
0.8552834951239342,-0.2725775579501077,0.5255877199979268,-0.07571868805768155,0.3784091235371012,1.276845408575436,0.1275290723309725,-0.7583939354942367,1.4763461013700065,0.3941980867080791,0.22431289304788102,0.27038245372858444,-0.21610094705160407,-0.7253543509288713,0.2910905420770055
0.8579596037930889,0.08735473579910243,0.5410046225452663,-0.005902147310888528,0.4076668090998905,1.2764899986335203,-0.0034163392092249048,-0.724531956625673,1.5294834135583726,0.4225700789207176,0.18767282176238428,0.3119225003731443,-0.3107748715185649,-0.7827196607831775,0.36087629851601205
0.8606357124622439,0.02526796685539483,0.49589052243755205,-0.003858716017728037,0.443348112279977,1.277911638401184,0.09304521413462119,-0.6805113840965401,1.6093862655331888,0.4531849163675579,0.14511128005212443,0.354055976255483,-0.5007459402650993,-0.7739858419818297,0.35704776728321125
0.8633118211313986,-0.03584412663186397,0.5340850476571782,0.01584038948218734,0.4601341799772823,1.2793332781688482,0.21350152229120437,-0.5992426348119871,1.5029413633685504,0.4799869169162549,0.08249789724018035,0.39678288137560186,-0.6604760899263327,-0.8022715051452852,0.407690694921707
0.8659879298005536,0.08934661906951508,0.698595004871847,0.08456214033501336,0.5258241082221616,1.2782670483431002,0.2262025159278673,-0.48749810454572673,1.5227680832978363,0.5053310680627223,0.14522334369458834,0.4395097864957203,-0.8466640503233611,-0.7698174284630047,0.48777922198188284
0.8659879298005536,0.21968018750217205,0.7206205825330403,0.09615652071361687,0.5264839074865122,1.28004409805268,0.22038371557622746,-0.3418915954109026,1.5828974271520866,0.5277595204047294,-0.012320658396707878,0.48342355009139737,-0.9303304271932978,-0.651513882881114,0.5327567919024612
0.8686640384697083,0.25167726757660014,0.7583893464809128,0.15927272475764695,0.5825894401173854,1.2825319676460922,0.23271111227105293,-0.10485774333095628,1.5360284660310035,0.5482815542976663,0.12374784658968657,0.5273373136870748,-1.0202540085551741,-0.7619768411299768,0.5554902627850449
0.8713401471388629,0.36956829972846494,0.8106824828385829,0.19927270088108442,0.5869948792291694,1.2818211477622599,0.06221562517380621,0.18974147282554849,1.4828379420339166,0.5670093120032421,0.23420708229511109,0.5712510772827523,-1.0678204426891598,-0.8982442640191848,0.5977291701774534
0.8713401471388629,0.42185336688333697,0.7027497314840726,0.16874730808322452,0.5869948792291694,1.2825319676460922,0.025080249389811207,0.34889277350779796,1.5626662974765237,0.5839427935214568,0.22953750730130812,0.6157582701162091,-1.0678204426891598,-0.8731345349653103,0.6294065232579202
0.874016255808018,0.41836995684051287,0.7362510856319815,0.17527808355509203,0.586366499578051,1.281110327878428,0.04386761148482413,0.5114302720769042,1.4828060149486848,0.5975120071883703,0.17156634804453616,0.6590786044741068,-1.1172808927573579,-0.8813721140620361,0.6810352294518418
0.874016255808018,0.43850934837162864,0.7964928492207554,0.21836554946931908,0.5409123377577081,1.2786224582850163,0.04707771109096609,0.5554508446060369,1.5027391584954115,0.6114176476404155,0.18487096069488507,0.7006186511186666,-1.1172808927573579,-0.7642595437712382,0.6912188638904898
-0.6995356416550105,-0.2531014422971948,-0.014163574922008669,-1.0061642507083364,1.7483213540646556,-1.3414596335196634,-1.3426290479222691,-1.100230612172388,0.7377768386901689,-2.6467636240829027,0.07762777420951243,-1.374603393395978,1.965185895976445,-1.5527844344156359,-1.9300768245702946
-0.6874931526438138,0.1055361898403656,-0.12045017620372868,-1.0052525636532563,1.7418501623759146,-1.279262893684365,-1.3798474100675862,-1.0991808908274623,0.6713046472364264,-2.5872160831148747,0.08872857740894106,-1.3348436344647567,1.9333156673603324,-1.5685648570226163,-1.7543695953463054
