,Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
95409,"Bahamas, The",Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,1.5595,1.5941,1.8593,1.8559,1.6381,1.6792,1.5031,1.6576,1.6818,1.7311,1.7095,1.5285,1.2867,0.9938,0.9844,0.8963,0.9361,1.078,1.1026,1.2644,1.3069,1.2018,1.0668,1.0942,1.1942,1.3562,1.4959,1.5102,1.7113,1.5622,1.258,1.2584,1.3595,1.0807,1.1549,1.1451,1.3883,1.6166,1.6759,1.4363,1.5923,1.1697,1.3368,1.4195,1.4661,1.4532,1.5839,1.721,1.8914,2.1289,1.791,1.9488,1.9575,2.0503,
95411,"Bahamas, The",Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.90161,-2.90121,-2.80011,-3.07891,-3.00471,-3.01451,-2.77131,-2.54301,-2.48371,-2.72331,-2.56731,-2.98991,-2.82281,-2.74011,-2.69351,-2.70641,-2.57571,-2.43861,-2.26821,-2.03071,-2.36861,-2.2108099999999995,-2.20211,,
96925,Bahrain,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,18.3919,18.5531,19.4085,20.6939,22.2113,19.9431,20.8752,23.8315,23.6085,24.4244,24.2844,24.4619,24.587,24.2822,24.4219,25.3382,27.7146,27.1125,28.0994,28.3324,29.0665,28.6159,32.8271,34.9306,34.8768,34.7379,36.057,33.4509,34.9708,37.0281,37.5861,38.6092,38.1126,37.7592,37.6944,41.1518,42.7691,43.8792,47.3685,47.9514,48.2934,48.6617,52.4248,56.994,58.8271,59.0108,59.2432,59.0787,59.1378,63.0203,63.1845,63.3878,62.5055,63.7339,
96927,Bahrain,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5611,38.5842,38.0876,37.7342,37.6694,41.1268,42.7441,43.8542,47.3435,47.9264,48.2684,48.636700000000005,52.3998,56.969,58.8021,58.985800000000005,59.2182,59.0537,59.1128,62.9953,63.1595,63.3628,62.4805,,
98441,Bangladesh,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,124.3558,117.665,119.7852,120.987,119.848,125.3326,122.0782,123.6055,127.1381,129.0807,122.1739,122.9921,124.7068,118.8974,121.9132,124.1384,126.7637,125.6542,126.2224,129.9021,130.0953,128.1323,129.3812,128.7371,130.6672,135.8801,137.4478,139.1913,138.5762,144.7215,146.012,152.3809,156.2923,159.4446,160.3768,166.0101,171.1347,175.9628,186.5013,191.7539,200.1284,205.0787,210.007,212.869,219.5783,228.5648,235.6188,247.5703,252.5641,255.847,251.5593,269.4111,278.4889,281.3805,
98443,Bangladesh,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.386253,152.755153,156.66655300000002,159.81885300000002,160.751053,166.384353,171.50895300000002,176.337053,186.875553,192.128153,200.502653,205.452953,210.381253,213.243253,219.952553,228.939053,235.993053,247.944553,252.938353,256.221253,251.933553,269.785353,278.863153,,
99957,Barbados,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,0.5004,0.5097,0.5634,0.5732,0.5298,0.578,0.554,0.6076,0.6122,0.6165,0.6288,0.6149,0.5974,0.6083,0.7048,0.7665,0.7968,0.7539,0.7658,0.8461,0.8599,0.8281,0.8158,0.7769,0.7642,0.7767,0.7704,0.8669,0.9341,0.9679,0.8398,0.8017,0.8297,0.8592,0.854,0.8674,0.905,0.8724,1.0096,1.003,1.0206,0.8796,0.839,0.9234,0.8609,0.9125,0.9673,0.8774,0.935,1.0317,0.8647,0.9494,0.9518,0.989,
99959,Barbados,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7988869565217391,0.7486999999999999,0.7777,0.8071999999999999,0.8009999999999999,0.8143999999999999,0.851,0.8173999999999999,0.9526,0.9449999999999998,0.9616,0.8206,0.78,0.8644000000000001,0.8019000000000001,0.8534999999999999,0.9083,0.8184,0.8760000000000001,0.9727,0.8057000000000001,0.8904000000000001,0.8928,,
101473,Belarus,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),,,,,,,,,,,89.0421,90.2188,95.3201,102.2541,109.0831,115.317,119.1083,122.2878,126.5132,130.0573,133.5862,135.317,136.1943,137.3742,137.2671,137.4279,137.8747,138.7634,136.5758,133.3405,139.9221,135.0517,123.3268,109.1247,95.5353,86.7889,86.9665,86.927,85.3072,82.765,80.0146,78.6158,78.5267,79.0934,83.0526,83.2334,86.1537,84.7515,92.3989,89.7154,94.9244,92.2659,93.9041,94.451,93.8678,89.2526,88.4504,90.188,93.5,91.3407,88.5806,88.6952,86.8031,84.2776,
101475,Belarus,Total greenhouse gas emissions including LULUCF (Mt CO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3478357198004,44.879524187512295,46.2928552039017,49.5831569386678,51.0508420068493,49.137912677331705,49.3093396938974,45.57868449278829,52.8328433131033,46.964649758226805,48.75633082407301,47.0171153607917,50.4368953068513,48.410430774651694,48.24209086220621,45.3303467732799,48.3158815551511,53.2062582213977,53.5531550561365,55.6519579650912,51.07526429825671,45.591008938382,43.698908938382,,
