Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 7/24/2025 3:33:02 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age_all,[All],80.00000000,19.46472019,156.52244508,124.65525032,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Male,Age_all,[All],43.00000000,21.50000000,169.34683706,140.31652798,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age_all,[All],37.00000000,17.53554502,184.85163609,110.31932974,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age_all,[All],57.00000000,13.76811594,116.17803134,88.56845409,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Male,Age_all,[All],20.00000000,11.17318436,85.88970077,65.01739215,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age_all,[All],37.00000000,15.74468085,219.97889500,110.14199387,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age_all,[All],62.00000000,13.62637363,111.80020925,96.67409914,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Male,Age_all,[All],28.00000000,15.30054645,89.13410154,91.27359259,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age_all,[All],34.00000000,12.50000000,129.31410864,101.62297875,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age_all,[All],52.00000000,13.79310345,145.32782345,81.69677926,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age_all,[All],24.00000000,13.95348837,98.07660154,78.80220646,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age_all,[All],28.00000000,13.65853659,304.15066678,84.35513512,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age_all,[All],94.00000000,18.95161290,175.93013483,148.92268695,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Male,Age_all,[All],41.00000000,18.38565022,134.17737448,135.70766583,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Female,Age_all,[All],53.00000000,19.41391941,282.71605667,161.11381323,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age_all,[All],77.00000000,16.63066955,138.63606285,122.85600319,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Male,Age_all,[All],47.00000000,19.34156379,126.53928143,156.61968076,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age_all,[All],30.00000000,13.63636364,209.37555273,91.84985610,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age_all,[All],83.00000000,16.90427699,140.68676704,133.08320105,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Male,Age_all,[All],43.00000000,18.45493562,131.43162030,143.92823671,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Female,Age_all,[All],40.00000000,15.50387597,212.13466984,123.16408535,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age_all,[All],88.00000000,17.74193548,166.51220822,141.57241912,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Male,Age_all,[All],49.00000000,20.41666667,172.74647822,164.38539989,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age_all,[All],39.00000000,15.23437500,215.83732226,120.54150955,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age_all,[All],74.00000000,18.40796020,115.89467242,119.28557612,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Male,Age_all,[All],37.00000000,18.04878049,100.13980935,124.29036918,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age_all,[All],37.00000000,18.78172589,188.33310914,114.66112988,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age_all,[All],58.00000000,18.58974359,111.26520464,93.87087899,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Male,Age_all,[All],32.00000000,18.28571429,120.61342677,107.53772222,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Female,Age_all,[All],26.00000000,18.97810219,101.45391541,81.19417900,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age_all,[All],39.00000000,9.82367758,68.86948277,63.12109539,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Male,Age_all,[All],21.00000000,10.88082902,71.35291732,70.42253521,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age_all,[All],18.00000000,8.82352941,66.74771532,56.31159080,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age_all,[All],30.00000000,8.02139037,54.83941333,48.57984908,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Male,Age_all,[All],16.00000000,8.42105263,68.17063577,53.60313578,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age_all,[All],14.00000000,7.60869565,42.85200659,43.88026955,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age_all,[All],28.00000000,7.17948718,53.27189913,45.36837500,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Male,Age_all,[All],17.00000000,8.37438424,66.97658369,56.89805208,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age_all,[All],11.00000000,5.88235294,43.35419822,34.55316476,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age_all,[All],51.00000000,14.04958678,102.36696959,82.56301501,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Male,Age_all,[All],34.00000000,17.61658031,135.44188698,113.57942208,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Female,Age_all,[All],17.00000000,10.00000000,75.59817391,53.42048204,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age_all,[All],42.00000000,10.12048193,71.75150535,67.73319572,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Male,Age_all,[All],27.00000000,12.44239631,103.05117234,89.76362246,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Female,Age_all,[All],15.00000000,7.57575758,45.43152000,46.98070659,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age_all,[All],51.00000000,12.62376238,90.80786321,81.56345957,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,Male,Age_all,[All],26.00000000,12.68292683,91.35287767,85.76895164,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,Female,Age_all,[All],25.00000000,12.56281407,96.29230150,77.59396629,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age_all,[All],39.00000000,9.62962963,76.11680977,61.54623069,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,Male,Age_all,[All],16.00000000,8.00000000,65.61382010,52.17334594,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,Female,Age_all,[All],23.00000000,11.21951220,93.42926926,70.34499633,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age_all,[All],48.00000000,11.29411765,75.59574519,74.45207923,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Male,Age_all,[All],25.00000000,11.57407407,94.08610134,80.33935343,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Female,Age_all,[All],23.00000000,11.00478469,62.27360820,68.98413365,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age_all,[All],58.00000000,12.69146608,89.84630128,88.17671831,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Male,Age_all,[All],32.00000000,12.50000000,102.70263242,101.10903978,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Female,Age_all,[All],26.00000000,12.93532338,81.70180942,76.18377872,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age_all,[All],56.00000000,12.50000000,86.15308933,83.32837331,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Male,Age_all,[All],30.00000000,13.39285714,94.35718257,93.14745242,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Female,Age_all,[All],26.00000000,11.60714286,80.29351086,74.29845116,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,All,Age_all,[All],41.00000000,9.01098901,61.80283543,59.70583952,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Male,Age_all,[All],17.00000000,7.29613734,52.18862675,51.84981853,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Female,Age_all,[All],24.00000000,10.81081081,70.17936351,66.88031211,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,All,Age_all,[All],43.00000000,9.53436807,62.74696244,58.72391566,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Male,Age_all,[All],24.00000000,9.95850622,75.21296311,69.48867914,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age_all,[All],19.00000000,9.04761905,51.70857612,49.11972286,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,All,Age_all,[All],46.00000000,9.20000000,65.13153798,61.60109275,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,Male,Age_all,[All],21.00000000,7.74907749,62.21078081,59.77966922,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,Female,Age_all,[All],25.00000000,10.91703057,66.61529545,63.21911746,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age_all,[All],53.00000000,13.11881188,78.32959158,69.72216376,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Male,Age_all,[All],32.00000000,13.97379913,100.78312964,89.61075329,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Female,Age_all,[All],21.00000000,12.00000000,58.88703082,52.11306053,
